Drug Name,Drug Subcategory
Codeine,Barbiturate [EPC]
Piperacillin,others
Dihydroergotamine,others
Amitriptyline,others
Floxuridine,Antimetabolite [EPC]
Tolcapone,Catechol-O-Methyltransferase Inhibitor [EPC]
Fluorometholone,Corticosteroid [EPC]
Calcium Gluceptate,others
Hydromorphone,others
Indomethacin,Nonsteroidal Anti-inflammatory Drug [EPC]
Ethambutol,others
Metformin,others
Ipratropium bromide,Muscle Relaxant [EPC]
Methadone,others
Olanzapine,Atypical Antipsychotic [EPC]
Atenolol,beta-Adrenergic Blocker [EPC]
Nitrofural,others
Pimecrolimus,Calcineurin Inhibitor Immunosuppressant [EPC]
Omeprazole,Proton Pump Inhibitor [EPC]
Pyrazinamide,Antimycobacterial [EPC]
Metixene,others
Cetirizine,others
Terfenadine,others
Diltiazem,others
Protriptyline,others
Aminohippurate,others
Alfuzosin,others
Trimethadione,others
Nitisinone,4-Hydroxyphenyl-Pyruvate Dioxygenase Inhibitor [EPC]
Clobazam,Benzodiazepine [EPC]
Minoxidil,Arteriolar Vasodilator [EPC]
Megestrol acetate,Non-Standardized Plant Allergenic Extract [EPC]
Tioguanine,others
Methylergometrine,others
Buclizine,others
Aztreonam,Monobactam Antibacterial [EPC]
Chlorzoxazone,Muscle Relaxant [EPC]
Aminoglutethimide,others
Mefloquine,others
Sulfadiazine,Sulfonamide Antibacterial [EPC]
Tetrahydrobiopterin,others
Vinorelbine,others
Anidulafungin,others
Clozapine,Atypical Antipsychotic [EPC]
Sucralfate,Aluminum Complex [EPC]
Grepafloxacin,others
Doxylamine,others
Levonorgestrel,Progestin [EPC]
Norepinephrine,others
Cidofovir,others
Mirtazapine,others
Meprobamate,others
Thiethylperazine,others
Timolol,others
Treprostinil,Prostacycline Vasodilator [EPC]
Trihexyphenidyl,others
Palonosetron,others
Dydrogesterone,others
Mexiletine,others
Dexrazoxane,others
Amlodipine,others
Tacrine,others
Oxyphencyclimine,others
Triamterene,Thiazide Diuretic [EPC]
Valrubicin,others
Procyclidine,others
Phenylephrine,Amide Local Anesthetic [EPC]
Carbimazole,others
Digoxin,Cardiac Glycoside [EPC]
Sulpiride,others
Ethopropazine,others
Nimodipine,Dihydropyridine Calcium Channel Blocker [EPC]
Beclomethasone,others
Carisoprodol,Muscle Relaxant [EPC]
Progesterone,Estrogen [EPC]
Phenylpropanolamine,others
Sorafenib,Kinase Inhibitor [EPC]
Zoledronate,others
Griseofulvin,Tubulin Inhibiting Agent [EPC]
Nisoldipine,Dihydropyridine Calcium Channel Blocker [EPC]
Eszopiclone,others
Ceruletide,others
Alprazolam,Benzodiazepine [EPC]
Dexbrompheniramine,others
Gentian Violet,Angiotensin 2 Receptor Blocker [EPC]
Loxapine,others
Remoxipride,others
Mupirocin,RNA Synthetase Inhibitor Antibacterial [EPC]
Carbachol,others
Rosiglitazone,others
Pramipexole,others
Acetohexamide,others
Ampicillin,others
Metocurine Iodide,others
Phenoxymethylpenicillin,others
Secobarbital,others
Miglustat,Glucosylceramide Synthase Inhibitor [EPC]
Promazine,others
Spironolactone,Aldosterone Antagonist [EPC]
Methylphenidate,others
Methocarbamol,Muscle Relaxant [EPC]
Hyoscyamine,others
Zolpidem,others
Famciclovir,Herpes Simplex Virus Nucleoside Analog DNA Polymerase Inhibitor [EPC]
Triprolidine,others
Streptozocin,others
Carboprost Tromethamine,others
Cefpiramide,others
Lindane,others
Trifluridine,Nucleoside Analog Antiviral [EPC]
Prochlorperazine,others
Cyproheptadine,others
Bendroflumethiazide,others
Allopurinol,Xanthine Oxidase Inhibitor [EPC]
Ceftazidime,others
Cerivastatin,others
Trimethoprim,Sulfonamide Antimicrobial [EPC]
Gemcitabine,others
Entecavir,others
Betamethasone,others
Teniposide,others
Epirubicin,others
Chloramphenicol,others
Loracarbef,others
Lansoprazole,Proton Pump Inhibitor [EPC]
Dipivefrin,others
Droperidol,Dopamine-2 Receptor Antagonist [EPC]
Levothyroxine,others
Framycetin,others
Clomocycline,others
Pethidine,others
Loratadine,others
Cefalotin,others
Prazosin,others
Imipramine,others
Acitretin,Retinoid [EPC]
Verteporfin,others
Nabumetone,Nonsteroidal Anti-inflammatory Drug [EPC]
Methylscopolamine bromide,Muscle Relaxant [EPC]
Metharbital,others
Sodium Tetradecyl Sulfate,others
Ketorolac,others
Enoxacin,others
Quinine,others
Tenoxicam,others
Dronabinol,Cannabinoid [EPC]
Montelukast,others
Fluoxetine,others
Hexylcaine,others
Methohexital,others
Chlordiazepoxide,others
Duloxetine,others
Chlorpromazine,others
Rimantadine,others
Amikacin,others
Lenalidomide,Thalidomide Analog [EPC]
Raloxifene,others
Celecoxib,Nonsteroidal Anti-inflammatory Drug [EPC]
Gallamine Triethiodide,others
Brimonidine,others
Dicloxacillin,others
Nabilone,others
Pefloxacin,others
Altretamine,others
Sotalol,others
Buspirone,others
Miglitol,alpha-Glucosidase Inhibitor [EPC]
Fosinopril,others
Cefotaxime,others
Entacapone,Catechol-O-Methyltransferase Inhibitor [EPC]
Zidovudine,Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC]
Darifenacin,others
Oxycodone,others
Phenindione,others
Flutamide,Androgen Receptor Inhibitor [EPC]
Tolmetin,others
Cimetidine,Histamine-2 Receptor Antagonist [EPC]
Haloperidol,Typical Antipsychotic [EPC]
Ritonavir,Cytochrome P450 3A Inhibitor [EPC]
Levallorphan,others
Tridihexethyl,others
Nitazoxanide,Antiprotozoal [EPC]
Triflupromazine,others
Dextrothyroxine,others
Acetyldigitoxin,others
Vancomycin,others
Aminocaproic Acid,others
Dextromethorphan,others
Anisotropine Methylbromide,others
Albendazole,Anthelmintic [EPC]
Trandolapril,Angiotensin Converting Enzyme Inhibitor [EPC]
Caspofungin,others
Carteolol,others
Bentiromide,others
Alitretinoin,others
Metolazone,Thiazide-like Diuretic [EPC]
Tolnaftate,others
Oxaliplatin,Platinum-based Drug [EPC]
Cinchocaine,others
Lercanidipine,others
Foscarnet,others
Erlotinib,others
Cyclophosphamide,Alkylating Drug [EPC]
Mephenytoin,others
Rofecoxib,others
Chlormerodrin,others
Cefdinir,Cephalosporin Antibacterial [EPC]
Guanidine,others
Ciprofloxacin,others
Gadoversetamide,others
Toremifene,others
Nortriptyline,others
Vincristine,others
Benazepril,others
Amoxapine,Tricyclic Antidepressant [EPC]
Fluorouracil,Nucleoside Metabolic Inhibitor [EPC]
Pyridostigmine,others
Adinazolam,others
Desoximetasone,Corticosteroid [EPC]
Azelaic Acid,others
Zafirlukast,Leukotriene Receptor Antagonist [EPC]
Propylthiouracil,Thyroid Hormone Synthesis Inhibitor [EPC]
Acetohydroxamic Acid,others
Pentostatin,Nucleoside Metabolic Inhibitor [EPC]
Methoxsalen,Photoactivated Radical Generator [EPC]
Piroxicam,Nonsteroidal Anti-inflammatory Drug [EPC]
Lamotrigine,Anti-epileptic Agent [EPC]
Perflutren,Contrast Agent for Ultrasound Imaging [EPC]
Hydroxyzine,others
Zanamivir,others
Bosentan,others
Tigecycline,Tetracycline-class Antibacterial [EPC]
Doxapram,others
Benzthiazide,others
Methotrexate,others
Carbamazepine,Mood Stabilizer [EPC]
Cisatracurium besylate,others
Succimer,others
Cephalexin,others
Cinnarizine,others
Vinblastine,others
Propranolol,others
Atropine,Anticholinergic [EPC]
Fenoprofen,others
Fenfluramine,others
Clonidine,others
Sulfamethizole,others
Valaciclovir,others
Carbenicillin,others
Mazindol,others
Valdecoxib,others
Lactulose,Osmotic Laxative [EPC]
Voriconazole,Azole Antifungal [EPC]
L-Carnitine,others
Enalapril,others
Nizatidine,Histamine-2 Receptor Antagonist [EPC]
Diclofenac,others
Cinalukast,others
Fluticasone Propionate,others
Lisuride,others
Doxazosin,others
Fluocinolone Acetonide,others
Piperazine,others
Ethosuximide,Anti-epileptic Agent [EPC]
Amiloride,others
Oxytetracycline,others
Halobetasol Propionate,others
Gadoteridol,others
Labetalol,others
Thiopental,others
Monobenzone,others
Linezolid,Oxazolidinone Antibacterial [EPC]
Medroxyprogesterone Acetate,Non-Standardized Plant Allergenic Extract [EPC]
Cisapride,others
Sulindac,Nonsteroidal Anti-inflammatory Drug [EPC]
Cyclothiazide,others
Nafcillin,others
Chloroquine,others
Ethionamide,others
Metaraminol,others
Butorphanol,others
Bisoprolol,Thiazide Diuretic [EPC]
Amodiaquine,others
Furazolidone,others
Rifabutin,Rifamycin Antimycobacterial [EPC]
Candoxatril,others
Paramethadione,others
Demeclocycline,others
Imatinib,others
Triamcinolone,Polyene Antifungal [EPC]
Oxandrolone,others
Nicardipine,others
Fluphenazine,others
Testosterone,others
Efavirenz,Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor [EPC]
Bacitracin,others
Niacin,Nicotinic Acid [EPC]
Clorazepate,others
Guanabenz,others
Alendronate,others
Clofarabine,Nucleoside Metabolic Inhibitor [EPC]
Docosanol,others
Dexmedetomidine,others
Sulfacetamide,others
Prednisone,Corticosteroid [EPC]
Clofibrate,others
Astemizole,others
Butoconazole,others
Adenosine,Adenosine Receptor Agonist [EPC]
Simvastatin,Dietary Cholesterol Absorption Inhibitor [EPC]
Pemetrexed,others
Mebendazole,others
Gonadorelin,others
Dyclonine,others
Nystatin,Polyene Antifungal [EPC]
Dextropropoxyphene,others
Mitotane,others
Stavudine,Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC]
Leucovorin,others
Dyphylline,others
Pentazocine,others
Latanoprost,Prostaglandin Analog [EPC]
Estrone,others
Trazodone,others
Mecamylamine,others
Acamprosate,others
Metaxalone,Muscle Relaxant [EPC]
Verapamil,others
Trimethobenzamide,others
Flumethasone,others
Sulfametopyrazine,others
Nilutamide,Androgen Receptor Inhibitor [EPC]
Nafarelin,others
Epinephrine,alpha-Adrenergic Agonist [EPC]
Sumatriptan,others
Pirenzepine,others
Cefixime,others
Chlorpropamide,others
Aprepitant,Substance P/Neurokinin-1 Receptor Antagonist [EPC]
Galantamine,others
Tamoxifen,others
Benzyl Benzoate,others
Isoflurophate,others
Losartan,others
Thioridazine,others
Moricizine,others
Amphotericin B,others
Warfarin,others
Midazolam,others
Tobramycin,Corticosteroid [EPC]
Trovafloxacin,others
Pentosan Polysulfate,others
Fludrocortisone,others
Mycophenolate mofetil,others
Cephaloglycin,others
Flurazepam,others
Moexipril,others
Phentolamine,others
Fluorescein,others
Daunorubicin,others
Furosemide,Loop Diuretic [EPC]
Ergotamine,Central Nervous System Stimulant [EPC]
Tizanidine,others
Nitrofurantoin,Nitrofuran Antibacterial [EPC]
Nicergoline,others
Eplerenone,Aldosterone Antagonist [EPC]
Amprenavir,others
Methazolamide,others
Naltrexone,others
Delavirdine,others
Tamsulosin,others
Sufentanil,others
Lamivudine,Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC]
Ibandronate,others
Diethylcarbamazine,others
Flurbiprofen,Nonsteroidal Anti-inflammatory Drug [EPC]
Oxacillin,others
Apomorphine,others
Paroxetine,others
Nedocromil,others
Norethisterone,others
Adefovir Dipivoxil,others
Azatadine,others
Clodronate,others
Procaine,others
Lisinopril,Thiazide Diuretic [EPC]
Methoxamine,others
Imiquimod,others
Homatropine Methylbromide,others
Trimipramine,others
Nitroglycerin,Nitrate Vasodilator [EPC]
Rocuronium,others
Diphemanil Methylsulfate,others
Thiabendazole,others
Nateglinide,Glinide [EPC]
Atracurium besylate,others
Pralidoxime,others
Risperidone,Atypical Antipsychotic [EPC]
Naftifine,others
Esomeprazole,others
Meclizine,others
Pentamidine,others
Hetacillin,others
Riluzole,Benzothiazole [EPC]
Hydrocortisone,Corticosteroid [EPC]
Mannitol,Osmotic Diuretic [EPC]
Zileuton,5-Lipoxygenase Inhibitor [EPC]
Modafinil,Sympathomimetic-like Agent [EPC]
Deferoxamine,others
Scopolamine,others
Carbinoxamine,others
Etodolac,Nonsteroidal Anti-inflammatory Drug [EPC]
Prilocaine,Amide Local Anesthetic [EPC]
Epinastine,others
Tranylcypromine,others
Isoflurane,General Anesthetic [EPC]
Ethotoin,others
Tretinoin,Retinoid [EPC]
Hexachlorophene,others
Dolasetron,others
Clopidogrel,others
Tetracycline,others
Meropenem,others
Irinotecan,others
Methimazole,Thyroid Hormone Synthesis Inhibitor [EPC]
Mometasone,others
Metyrosine,Catecholamine Synthesis Inhibitor [EPC]
Clavulanate,others
Benzquinamide,others
Olopatadine,others
Hydrocortamate,others
Alprostadil,Prostaglandin Analog [EPC]
Clidinium,others
Malathion,Cholinesterase Inhibitor [EPC]
Etoposide,Topoisomerase Inhibitor [EPC]
Hydroflumethiazide,others
Tirofiban,others
Oxcarbazepine,Anti-epileptic Agent [EPC]
Propiomazine,others
Roxithromycin,others
Nalidixic Acid,others
Phenelzine,others
Polymyxin B Sulfate,others
Propantheline,others
Estradiol,others
Mefenamic acid,others
Marimastat,others
Aciclovir,others
Naproxen,others
Perindopril,others
Uracil mustard,others
Tripelennamine,others
Haloprogin,others
Primidone,Anti-epileptic Agent [EPC]
Sulfasalazine,Aminosalicylate [EPC]
Candesartan,others
Tolazoline,others
Gentamicin,others
Tazarotene,Retinoid [EPC]
Fenoldopam,others
Halazepam,others
Alfentanil,others
Colistin,others
Dicyclomine,others
Minaprine,others
Pentoxifylline,Blood Viscosity Reducer [EPC]
Proparacaine,others
Indapamide,Thiazide-like Diuretic [EPC]
Tropicamide,Anticholinergic [EPC]
Biperiden,others
Ribavirin,Nucleoside Analog Antiviral [EPC]
Phenylbutazone,others
Fentanyl,Opioid Agonist [EPC]
Meloxicam,Nonsteroidal Anti-inflammatory Drug [EPC]
Sodium lauryl sulfate,others
Orciprenaline,others
Rosoxacin,others
Propofol,General Anesthetic [EPC]
Acetazolamide,Carbonic Anhydrase Inhibitor [EPC]
Tadalafil,Phosphodiesterase 5 Inhibitor [EPC]
Carprofen,others
Disulfiram,Aldehyde Dehydrogenase Inhibitor [EPC]
Ethynodiol,others
Enprofylline,others
Menthol,others
Natamycin,others
Cinoxacin,others
Fosfomycin,others
Diazepam,Benzodiazepine [EPC]
Phenmetrazine,others
Trifluoperazine,others
Phensuximide,others
Cefaclor,others
Mifepristone,Progestin Antagonist [EPC]
Brompheniramine,others
Loperamide,others
Progabide,others
Clocortolone,others
Tolazamide,others
Dobutamine,others
Oxazepam,Benzodiazepine [EPC]
Donepezil,others
Nalbuphine,others
Clofazimine,others
Flurandrenolide,Corticosteroid [EPC]
Cysteamine,others
Levamisole,others
Methylphenobarbital,others
Perphenazine,Phenothiazine [EPC]
Dacarbazine,Alkylating Drug [EPC]
Pseudoephedrine,others
Temozolomide,Alkylating Drug [EPC]
Levorphanol,others
Aminolevulinic acid,others
Chlorphenesin,others
Terbinafine,others
Drostanolone,others
Penicillamine,Antirheumatic Agent [EPC]
Prednisolone,others
Diflunisal,Nonsteroidal Anti-inflammatory Drug [EPC]
Vardenafil,others
Ranitidine,others
Tacrolimus,others
Benzphetamine,others
Alprenolol,others
Ritodrine,others
Benzonatate,Non-narcotic Antitussive [EPC]
Dorzolamide,others
Suprofen,others
Terbutaline,others
Conivaptan,others
Loteprednol,others
Guaifenesin,Expectorant [EPC]
Flupentixol,others
Eprosartan,others
Sirolimus,mTOR Inhibitor Immunosuppressant [EPC]
Chlorhexidine,others
Emtricitabine,Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC]
Chlorothiazide,others
Quinapril,others
Clomifene,others
Isosorbide Dinitrate,others
Risedronate,others
Pemirolast,others
Omapatrilat,others
Bumetanide,Loop Diuretic [EPC]
Mechlorethamine,others
Granisetron,others
Dienestrol,others
Sulfapyridine,others
Oxybuprocaine,others
Testolactone,others
Rimexolone,others
Triazolam,Benzodiazepine [EPC]
Ethanol,others
Remifentanil,others
Didanosine,others
Bitolterol,others
Methdilazine,others
Ethacrynic acid,others
Ondansetron,others
Bimatoprost,Prostaglandin Analog [EPC]
Tiagabine,others
Cocaine,others
Quinidine,others
Zonisamide,Anti-epileptic Agent [EPC]
Paricalcitol,Vitamin D2 Analog [EPC]
Tinidazole,Nitroimidazole Antimicrobial [EPC]
Repaglinide,Glinide [EPC]
Anileridine,others
Phenformin,others
Amantadine,others
Metronidazole,Nitroimidazole Antimicrobial [EPC]
Dinoprostone,others
Almotriptan,others
Spectinomycin,others
Ketotifen,others
Buprenorphine,others
Levosimendan,others
Ceforanide,others
Cyclobenzaprine,others
Phenoxybenzamine,others
Etretinate,others
Famotidine,Histamine-2 Receptor Antagonist [EPC]
Azacitidine,Nucleoside Metabolic Inhibitor [EPC]
Misoprostol,Prostaglandin E1 Analog [EPC]
Methacycline,others
Tipranavir,others
Mesoridazine,others
Maprotiline,others
Oxymetazoline,others
Salicylic acid,others
Diethylpropion,others
Salmeterol,others
Meclofenamic acid,others
Methantheline,others
Cycrimine,others
Zalcitabine,others
Demecarium,others
Acetylsalicylic acid,others
Phenprocoumon,others
Fulvestrant,Estrogen Receptor Antagonist [EPC]
Mezlocillin,others
Felbamate,Anti-epileptic Agent [EPC]
Fexofenadine,others
Isoniazid,Antimycobacterial [EPC]
Naratriptan,others
Rizatriptan,others
Dirithromycin,others
Netilmicin,others
Hydrocodone,others
Norgestimate,others
Methylprednisolone,Corticosteroid [EPC]
Pindolol,beta-Adrenergic Blocker [EPC]
Mepivacaine,others
Zaleplon,gamma-Aminobutyric Acid A Receptor Agonist [EPC]
Bromfenac,others
Apraclonidine,others
Telmisartan,Angiotensin 2 Receptor Blocker [EPC]
Desloratadine,Histamine-1 Receptor Antagonist [EPC]
Methyldopa,others
Alosetron,others
Dactinomycin,Actinomycin [EPC]
Azelastine,others
Ezetimibe,Dietary Cholesterol Absorption Inhibitor [EPC]
Edetic Acid,others
Dipyridamole,Platelet Aggregation Inhibitor [EPC]
Telithromycin,others
Ethinyl Estradiol,others
Lomefloxacin,others
Cyclopentolate,others
Ramelteon,Melatonin Receptor Agonist [EPC]
Physostigmine,others
Isotretinoin,Retinoid [EPC]
Formoterol,others
Nandrolone phenpropionate,others
Dimenhydrinate,others
Glycopyrrolate,others
Cytarabine,Nucleoside Metabolic Inhibitor [EPC]
Dopamine,others
Rivastigmine,others
Exemestane,Aromatase Inhibitor [EPC]
Oxaprozin,Nonsteroidal Anti-inflammatory Drug [EPC]
Methyl aminolevulinate,4-Hydroxyphenyl-Pyruvate Dioxygenase Inhibitor [EPC]
Azathioprine,Purine Antimetabolite [EPC]
Neomycin,others
Auranofin,others
Gabapentin,Anti-epileptic Agent [EPC]
Doxorubicin,others
Frovatriptan,others
Hydrochlorothiazide,Thiazide Diuretic [EPC]
Cyclacillin,others
Salbutamol,others
Levobupivacaine,others
Cromoglicic acid,others
Ganciclovir,Cytomegalovirus Nucleoside Analog DNA Polymerase Inhibitor [EPC]
Hydroxyurea,Antimetabolite [EPC]
Letrozole,Aromatase Inhibitor [EPC]
Tioconazole,Azole Antifungal [EPC]
Busulfan,Alkylating Drug [EPC]
Ketoprofen,Nonsteroidal Anti-inflammatory Drug [EPC]
Edrophonium,others
Metyrapone,others
Cinacalcet,others
Clobetasol propionate,others
Balsalazide,others
Sulfamethoxazole,Sulfonamide Antimicrobial [EPC]
Glyburide,Sulfonylurea [EPC]
Minocycline,others
Guanfacine,others
Bethanechol,others
Isosorbide Mononitrate,others
Trichlormethiazide,others
Phylloquinone,others
Felodipine,Dihydropyridine Calcium Channel Blocker [EPC]
Mycophenolic acid,others
Amlexanox,others
Ketoconazole,Azole Antifungal [EPC]
Methoxyflurane,others
Irbesartan,Angiotensin 2 Receptor Blocker [EPC]
Topotecan,others
Ethinamate,others
Probenecid,others
Mercaptopurine,others
Cerulenin,others
Procainamide,others
Tolterodine,others
Selegiline,others
Carphenazine,others
Fenofibrate,Peroxisome Proliferator Receptor alpha Agonist [EPC]
Thalidomide,others
Melphalan,others
Memantine,others
Gatifloxacin,Quinolone Antimicrobial [EPC]
Rifampicin,others
Lubiprostone,Chloride Channel Activator [EPC]
Fluocinonide,Corticosteroid [EPC]
Abacavir,others
Ibuprofen,Nonsteroidal Anti-inflammatory Drug [EPC]
Novobiocin,others
Benzylpenicillin,others
Nitrendipine,others
Mimosine,others
Tocainide,others
Echothiophate,others
Praziquantel,Anthelmintic [EPC]
Norfloxacin,others
Amoxicillin,others
Azlocillin,others
Oxybutynin,others
Acetophenazine,others
Isoprenaline,others
Melatonin,Non-Standardized Food Allergenic Extract [EPC]
Cefditoren,others
Glipizide,Sulfonylurea [EPC]
Clonazepam,Benzodiazepine [EPC]
Promethazine,others
Dihydrotachysterol,others
Mequitazine,others
Atazanavir,others
Fludarabine,others
Perhexiline,others
Diphenhydramine,others
Atorvastatin,others
Etidronic acid,others
Deslanoside,others
Tegaserod,others
Vigabatrin,Anti-epileptic Agent [EPC]
Diphenoxylate,Anticholinergic [EPC]
Streptomycin,others
Orlistat,Intestinal Lipase Inhibitor [EPC]
Emedastine,others
Pilocarpine,others
Benzocaine,Standardized Chemical Allergen [EPC]
Primaquine,others
Iloprost,others
Deserpidine,others
Pentolinium,others
Butenafine,others
Ouabain,others
Dimethyl sulfoxide,others
Hesperetin,others
Fluvastatin,others
Oxamniquine,others
Leflunomide,Antirheumatic Agent [EPC]
Rosuvastatin,others
Flucytosine,Nucleoside Analog Antifungal [EPC]
Pimozide,Typical Antipsychotic [EPC]
Capecitabine,Nucleoside Metabolic Inhibitor [EPC]
Arbutamine,others
Quinacrine,others
Sertraline,others
Sibutramine,others
Levocabastine,others
Methyprylon,others
Trilostane,others
Miconazole,others
Colistimethate,others
Cefuroxime,others
Papaverine,others
Chlorphenamine,others
Nifedipine,Dihydropyridine Calcium Channel Blocker [EPC]
Trimethaphan,others
Atovaquone,Antimalarial [EPC]
Amiodarone,others
Diazoxide,others
Gliclazide,others
Phenacemide,others
Ambenonium,others
Proflavine,others
Tolbutamide,others
Anisindione,others
Dutasteride,5-alpha Reductase Inhibitor [EPC]
Econazole,others
Bicalutamide,Androgen Receptor Inhibitor [EPC]
Rabeprazole,others
Prednicarbate,Corticosteroid [EPC]
Proguanil,Antimalarial [EPC]
Pioglitazone,others
Tiludronate,others
Desoxycorticosterone Pivalate,others
Doxacurium chloride,others
Carvedilol,alpha-Adrenergic Blocker [EPC]
Levofloxacin,Quinolone Antimicrobial [EPC]
