SMILES String,Solubility ALOGPS,Drug Name,Drug Subcategory,Drug Subcategory Updated,
N[C@@H](CC1=CN=CN1)C(O)=O,62,L-Histidine,others,Amino acid,
C[S+](CC[C@H](N)C(O)=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N)N=CN=C12,1.19,S-Adenosylmethionine,others,Methyl donor,
CC(=O)C(O)=O,134,Pyruvic acid,others,Metabolite,
N[C@@H](CC1=CC=CC=C1)C(O)=O,4.14,L-Phenylalanine,others,Amino acid,
[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,1.22,Biotin,others,Vitamin B7,
C[N+](C)(C)CCO,3.61,Choline,Radioactive Diagnostic Agent,Radioactive Diagnostic Agent,
NCCCC[C@H](N)C(O)=O,105,L-Lysine,others, Amino acid,
N[C@@H](CCCNC(N)=N)C(O)=O,2.28,L-Arginine,others, Amino acid,
[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,245,Vitamin C,others, Vitamin,
NCCCNCCCCNCCCN,2.19,Spermine,others, Biogenic amine,
N[C@@H](CC(O)=O)C(O)=O,142,L-Aspartic Acid,others, Amino acid,
NCCC[C@H](N)C(O)=O,172,L-Ornithine,others, Amino acid,
N[C@@H](CCC(N)=O)C(O)=O,97.8,L-Glutamine,others, Amino acid,
NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,3.31,Adenosine monophosphate,others, Nucleotide,
CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O,0.000266,Alpha-Linolenic Acid,others, Fatty acid,
N[C@@H](CO)C(O)=O,480,L-Serine,others, Amino acid,
CSCC[C@H](N)C(O)=O,23.9,L-Methionine,others, Amino acid,
N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,7.67,L-Tyrosine,others, Amino acid,
C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C,0.00667,Calcitriol,Vitamin D3 Analog,Vitamin D3 Analog,
C\C(\C=C\C=C(/C)\C=C\C1C(C)=CC(O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)CC(O)CC1(C)C,0.000732,Xanthophyll,others,others,
N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,16.8,L-Cystine,others,others,
OC(=O)CCC(O)=O,211,Succinic acid,others,others,
CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,0.657,Riboflavin,others,others,
[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO,148,N-Acetyl-D-glucosamine,others,others,
N[C@@H](CCC(O)=O)C(O)=O,80.6,L-Glutamic Acid,others,others,
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O,0.879,Glutathione,others,others,
CCCC(=O)O[C@H](COC(=O)CC)COP(O)(=O)OC[C@H](N)C(O)=O,3.7,Phosphatidylserine,others,others,
NCC(O)=O,552,Glycine,others,others,
C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,0.0022,Calcidiol,others,others,
CC1=NC=C(CO)C(C=O)=C1O,11.7,Pyridoxal,others,others,
CN(CC(O)=O)C(N)=N,4.11,Creatine,others,others,
CC(C)C[C@H](N)C(O)=O,69.8,L-Leucine,others,others,
N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O,1.36,L-Tryptophan,others,others,
N[C@@H](CS)C(O)=O,23.1,L-Cysteine,others,others,
CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,0.0153,Thiamine,others,others,
CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,0.000433,Ergocalciferol,Provitamin D2 Compound,Provitamin D2 Compound,
CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O,7.71E-05,Dihomo-gamma-linolenic acid,others, Nutraceuticals/Supplements,
N[C@@H](CCCNC(N)=O)C(O)=O,21.8,L-Citrulline,others, Nutraceuticals/Supplements,
C[C@@H](O)[C@H](N)C(O)=O,477,L-Threonine,others, Nutraceuticals/Supplements,
NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O,2.95,NADH,others, Nutraceuticals/Supplements,
NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,0.0761,Folic Acid,others, Vitamins,
CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,0.000289,Icosapent,others, Pharmaceuticals,
C[C@H](N)C(O)=O,447,L-Alanine,others, Nutraceuticals/Supplements,
CC(C)[C@H](N)C(O)=O,214,L-Valine,others, Nutraceuticals/Supplements,
C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,0.00758,Vitamin A,others, Vitamins,
CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C,7.04E-06,Vitamin E,others, Vitamins,
CC1=C(O)C(CO)=C(CO)C=N1,16.1,Pyridoxine,others, Vitamins,
OC(=O)CCCCC1CCSS1,0.224,Lipoic Acid,others, Nutraceuticals/Supplements,
CC[C@H](C)[C@H](N)C(O)=O,114,L-Isoleucine,others, Nutraceuticals/Supplements,
COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O,0.652,Aspartame,Standardized Chemical Allergen,Standardized Chemical Allergen,
CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,0.00038,Cholecalciferol,others,others,
CC1=CC(=O)C2=CC=CC=C2C1=O,0.504,Menadione,others,others,
NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,4.49,Adenosine triphosphate,others,others,
OC(=O)[C@@H]1CCCN1,365,L-Proline,others,others,
NC1=C2NC=NC2=NC=N1,11.5,Adenine,Calculi Dissolution Agent,Calculi Dissolution Agent,
N[C@@H](CC(N)=O)C(O)=O,168,L-Asparagine,others,amino acid,
[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC,0.242,Pravastatin,others,statins (lipid-lowering agents) ,
COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F,0.00734,Fluvoxamine,others,selective serotonin reuptake inhibitors (SSRIs),
CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O,0.0234,Valsartan,Angiotensin 2 Receptor Blocker,Angiotensin 2 Receptor Blocker,
[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC,0.039,Ramipril,Angiotensin Converting Enzyme Inhibitor,Angiotensin Converting Enzyme Inhibitor,
C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1,0.0136,Masoprocol,others, Antineoplastic Agents,
[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO,0.0374,Flunisolide,others, Corticosteroids,
NCC(CC(O)=O)C1=CC=C(Cl)C=C1,0.712,Baclofen,gamma-Aminobutyric Acid-ergic Agonist,gamma-Aminobutyric Acid-ergic Agonist,
CC(N)CC1=CC=CC=C1,1.74,Amphetamine,others, CNS Stimulants,
CSCC[C@H](NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)CCNC(=O)OCC(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O,0.00309,Pentagastrin,others, Gastrointestinal Agents,
CN1CCCC1C1=CN=CC=C1,93.3,Nicotine,Cholinergic Nicotinic Agonist,Cholinergic Nicotinic Agonist,
CC1O[C@@]2(CS1)CN1CCC2CC1,2.41,Cevimeline,others, Cholinergic Agonists,
OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2,0.0176,Lorazepam,Benzodiazepine,Benzodiazepine,
COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1,0.144,Esmolol,others, Beta-Blockers,
CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,0.0532,Bortezomib,Proteasome Inhibitor,Proteasome Inhibitor,
[H]C(Cl)=CC(O)(CC)C#C,0.143,Ethchlorvynol,others, Sedatives and Hypnotics,
CC(C)(N)CC1=CC=CC=C1,0.757,Phentermine,others, Anorexiants,
CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=CC=CC=C12,0.000896,Indecainide,others, Antiarrhythmic Agents,
COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C,0.75,Tramadol,others," Analgesics, Opioid",
NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,14,Vidarabine,others, Antiviral Agents,
CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1,0.0298,Betaxolol,others, Beta-Blockers,
OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,1.39,Fluconazole,Azole Antifungal,Azole Antifungal,
CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)O2)C(C)=C1O,0.00121,Troglitazone,others, Antidiabetic Agents,
CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,0.686,Oseltamivir,others, Antiviral Agents,
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,0.459,Erythromycin,Macrolide,Macrolide,
[H]O[Co+]N1\C2=C(C)/C3=N/C(=C\C4=N\C(=C(C)/C5=N[C@@](C)([C@@]1([H])[C@H](CC(=O)N)[C@@]2(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]1[C@@H](O)[C@H](O[C@@H]1CO)N1C=NC2=CC(C)=C(C)C=C12)[C@@](C)(CC(N)=O)[C@@H]5CCC(=O)N)\[C@@](C)(CC(=O)N)[C@@H]4CCC(=O)N)/C(C)(C)[C@@H]3CCC(=O)N,0.0146,Hydroxocobalamin,others, Antidotes,
CN1C=NC2=C1C(=O)N(C)C(=O)N2C,11,Caffeine,Barbiturate,Barbiturate,
C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,0.000757,Succinylcholine,others, Neuromuscular Blocking Agents,
CCCC1=NN(C)C2=C1NC(=NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N1CCN(C)CC1,0.433,Sildenafil,others, Phosphodiesterase Inhibitors,
CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1,0.0198,Dofetilide,Antiarrhythmic,Antiarrhythmic,
CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1,0.179,Pyrimethamine,Dihydrofolate Reductase Inhibitor Antimalarial,Dihydrofolate Reductase Inhibitor Antimalarial,
[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2,0.0113,Reserpine,others, Antihypertensive Agents,
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,0.514,Azithromycin,others, Macrolides,
ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2,0.0219,Ticlopidine,others, Platelet Aggregation Inhibitors,
OC(C(=O)OC1CC2CCC(C1)[N+]21CCCC1)(C1=CC=CC=C1)C1=CC=CC=C1,6.68E-05,Trospium,others, Urinary Antispasmodics,
COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2,4.01E-06,Adapalene,Retinoid,Retinoid,
COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1,4.45,Midodrine,others,Alpha-1 agonist,
CC(C)(C)S(=O)(=O)C[C@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@H](CC1CCCCC1)[C@H](O)[C@H](O)C1CC1,0.0213,Remikiren,others, Renin inhibitor,
COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1,0.495,Pantoprazole,others,Proton-pump inhibitor,
CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1,0.0596,Torasemide,others, Loop diuretic,
CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1,0.00588,Citalopram,others, Selective serotonin reuptake inhibitor (SSRI),
CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2,0.00118,Eletriptan,others, Serotonin receptor agonist,
CN\C(NCC1=CC=CC=C1)=N/C,1.58,Bethanidine,others, Antihypertensive,
[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O,0.168,Moxifloxacin,others, Fluoroquinolone antibiotic,
CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1,0.000136,Oxyphenonium,others, Anticholinergic,
[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C,0.00191,Nelfinavir,others, Protease inhibitor,
CCC(NC(C)C)C(O)C1=CC(O)=C(O)C=C1,3.18,Isoetarine,others,Beta-2 agonist,
CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC2CCC(C)CC2)C1=O,0.0384,Glimepiride,Sulfonylurea,Sulfonylurea,
[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,0.0853,Diflorasone,others, Topical corticosteroid,
CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12,0.0482,Indinavir,others, Protease inhibitor,
NC(N)=NCC1COC2(CCCCC2)O1,1.93,Guanadrel,others, Adrenergic neuron blocker,
[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC,0.0243,Lovastatin,HMG-CoA Reductase Inhibitor,HMG-CoA Reductase Inhibitor,
FC(F)OC(F)(F)C(F)Cl,3.9,Enflurane,others, Inhalational anesthetic,
[H][C@]12SCC(CSC3=NN=NN3CCN(C)C)=C(N1C(=O)[C@H]2NC(=O)CC1=CSC(N)=N1)C(O)=O,1.29,Cefotiam,others, Antibiotic,
CC(C)C[C@H](CN)CC(O)=O,11.3,Pregabalin,others, Gabapentinoid,
CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1,0.0534,Temazepam,Benzodiazepine,Benzodiazepine,
CN1C(CCl)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O,0.824,Methyclothiazide,others, Thiazide diuretic,
NC1=CC(O)=C(C=C1)C(O)=O,11.8,Aminosalicylic Acid,others, Antibiotic,
[H][C@]1(CNCCO1)[C@@H](OC1=CC=CC=C1OCC)C1=CC=CC=C1,0.0223,Reboxetine,others, Norepinephrine reuptake inhibitor,
CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1,0.209,Milrinone,others, Phosphodiesterase inhibitor,
BrCCC(=O)N1CCN(CC1)C(=O)CCBr,2.24,Pipobroman,others, Antineoplastic,
CCC(C)C1(CC)C(=O)NC(=O)NC1=O,1.39,Butabarbital,others, Barbiturate,
CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1,0.105,Nevirapine,Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,
ClC1=CC(Cl)=C(CO\N=C(\CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1,0.00191,Oxiconazole,others, Antifungal,
[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])[C@H](Cl)CC2=CC(=O)C=C[C@]12C,0.137,Alclometasone,others, Corticosteroid,
CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,2.23,Butalbital,Barbiturate,Barbiturate,
NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1,6.35,Cladribine,Purine Antimetabolite,Purine Antimetabolite,
COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,0.11,Ranolazine,Anti-anginal,Anti-anginal,
NC1=CC(C(O)=O)=C(O)C=C1,12.2,Mesalazine,others," Anti-inflammatory (specifically, aminosalicylate)",
[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C,0.00121,Benzatropine,others, Anticholinergic,
ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1,0.00718,Ziprasidone,others, Antipsychotic,
[H][C@@]12CC3=CN(C)C4=C3C(=CC=C4)C1=C[C@H](CN2C)C(=O)NC(CC)CO,0.224,Methysergide,others, Migraine prophylactic,
[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC,0.064,Cabergoline,Ergot Derivative,Ergot Derivative,
OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(I)C(=O)NC1=O,23.4,Idoxuridine,others, Antiviral,
NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1,0.284,Dapsone,Sulfone,Sulfone,
CC(C)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1,0.0116,Terconazole,Azole Antifungal,Azole Antifungal,
O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1,0.0711,Phenytoin,others, Anticonvulsant,
[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C,0.0337,Medrysone,others, Corticosteroid,
[H][C@@]12[C@@H](C)C3=C(C(O)=CC=C3)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])[C@H]2O,0.63,Doxycycline,Tetracycline-class Drug,Tetracycline-class Drug,
CCC(=C(CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,0.0109,Diethylstilbestrol,others, Estrogen,
[H][C@@]12C[C@@]3([H])C(C(=O)C4=C(O)C=CC=C4[C@@]3(C)O)=C(O)[C@]1(O)C(=O)C(C(=O)NCNCCCC[C@H](N)C(O)=O)=C(O)[C@H]2N(C)C,1.31,Lymecycline,others," Antibiotic (specifically, tetracycline)",
ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1,0.00147,Clotrimazole,Azole Antifungal,Azole Antifungal,
[Ca++].CC([O-])=O.CC([O-])=O,147,Calcium Acetate,Non-Standardized Plant Allergenic Extract,Non-Standardized Plant Allergenic Extract,
NC1=CC=C(C=C1)S(N)(=O)=O,10.4,Sulfanilamide,others," Antibiotic (specifically, sulfonamide)",
N[C@@H]1CONC1=O,877,Cycloserine,others, Antibiotic,
ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl,0.279,Anagrelide,others," Hematological agent (specifically, thrombopoietin receptor agonist)",
ClCCNC(=O)N(CCCl)N=O,1.53,Carmustine,others," Chemotherapy agent (specifically, nitrosourea)",
CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C,0.313,Sulfisoxazole,others," Antibiotic (specifically, sulfonamide)",
COCCC1=CC=C(OCC(O)CNC(C)C)C=C1,0.402,Metoprolol,others, Beta blocker,
CCN(C(=O)C=CC)C1=CC=CC=C1C,0.353,Crotamiton,others, Antipruritic,
OC1=C(CC2=C(O)C3=C(OC2=O)C=CC=C3)C(=O)OC2=C1C=CC=C2,0.0662,Dicoumarol,others, Anticoagulant,
[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O,0.446,Cefmenoxime,others," Antibiotic (specifically, cephalosporin)",
CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,0.353,Ropinirole,others, Dopamine agonist,
COC1=CC=C(C=C1)C(Cl)=C(C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1,0.000199,Chlorotrianisene,others, Estrogen,
COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC2=NON=C12)C(=O)OC(C)C,0.228,Isradipine,Dihydropyridine Calcium Channel Blocker,Dihydropyridine Calcium Channel Blocker,
CC(=O)NC1=C(I)C(C(O)=O)=C(I)C(NC(C)=O)=C1I,0.107,Diatrizoate,others, Radiopaque contrast agents,
NCCC1=CC=NN1,156,Betazole,others, Histamine H2 receptor agonists,
[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2,6.8,Topiramate,others, Anticonvulsants,
[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@]2(NC(=O)CSCC#N)OC)C(O)=O,2.16,Cefmetazole,others, Cephalosporin antibiotics,
CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(O)=O)C(C)(C)O,0.0105,Olmesartan,Thiazide Diuretic,Thiazide Diuretic,
